index	subject	sender
0	신형 커넥션 기어 발표	벡터 컴
1	잘 지내시나요？＋알림	미유키 이츠미
2	비밀 메일	미유키 이츠미
3	비밀 메일 읽었어	시온 우즈키
4	저기 저기！	시온 우즈키
5	닌자 어설트	ｎａｍｃｏ
6	추적 협력 의뢰	벡터 ＮＳＳ
7	알겠습니다	시온 우즈키
8	죄송합니다	시온 우즈키
9	데이터베이스 서비스 시작	오메가바이트 스토어
10	신형 스매시 코트 판매 중	ｎａｍｃｏ
11	스프링클을 보냅니다	미유키 이츠미
12	투자 신탁 안내−의약품	스기야마 증권
13	하세가와에 투자합니다	시온 우즈키
14	벡터에 투자합니다	시온 우즈키
15	도슨에 투자합니다	시온 우즈키
16	너무해요〜	미유키 이츠미
17	ＥＶＳ 플러그인	벡터 제１ 개발국
18	하세가와 배당품입니다	스기야마 증권
19	벡터 배당품입니다	스기야마 증권
20	도슨 배당품입니다	스기야마 증권
21	협력에 감사한다	벡터 ＮＳＳ
22	유감이군	벡터 ＮＳＳ
23	４７６７년 가을 겨울 제품 입고	셀렉트 숍 ＭＩＧ
24	비치 발리볼 대회 알림	크로노아
25	투자 신탁 안내−산업	스기야마 증권
26	ＶＬ사에 투자합니다	시온 우즈키
27	테슬라에 투자합니다	시온 우즈키
28	유통 센터에 투자합니다	시온 우즈키
29	침입자를 확인	벡터 ＮＳＳ
30	후보지 리스트	뛰어난 인공지능으로부터
31	소행성 루츠가 수상하다	시온 우즈키
32	발전 위성이 수상하다	시온 우즈키
33	화물선이 수상하다	시온 우즈키
34	투자 신탁 안내−ＩＴ	스기야마 증권
35	ＡＣＭ에 투자합니다	시온 우즈키
36	메르세데스에 투자합니다	시온 우즈키
37	벡터에 투자합니다	시온 우즈키
38	ＶＬ사 배당품입니다	스기야마 증권
39	테슬라 배당품입니다	스기야마 증권
40	유통 센터 배당품입니다	스기야마 증권
41	필살기 사용 허가（１）	벡터 제１ 개발국
42	팩맨이 돌아왔다！	ｎａｍｃｏ
43	새로운 맵 추가（１）	벡터 제１ 개발국
44	Ｆ−ＢＳＨＯＴ을 공급	벡터 제１ 개발국
45	ＡＣＭ 배당품입니다	스기야마 증권
46	메르세데스 배당품입니다	스기야마 증권
47	벡터 배당품입니다	스기야마 증권
48	새로운 맵 추가（２）	벡터 제１ 개발국
49	투자 신탁 안내−공업	스기야마 증권
50	시지마에 투자합니다	시온 우즈키
51	해밀턴에 투자합니다	시온 우즈키
52	알키미아에 투자합니다	시온 우즈키
53	시지마 배당품입니다	스기야마 증권
54	해밀턴 배당품입니다	스기야마 증권
55	알키미아 배당품입니다	스기야마 증권
56	에이스 컴뱃 ０４	ｎａｍｃｏ
57	침입자를 잡지 못했다	벡터 ＮＳＳ
58	침입자 체포에 실패	벡터 ＮＳＳ
59	침입자 체포에 성공	벡터 ＮＳＳ
60	Ｆ−ＢＳＨＯＴ을 공급	벡터 제１ 개발국
61	화살나무의 꽃	뱀술사
62	더미	더미
63	Ｕ−ＴＩＣ 전함	시온 우즈키
64	뒤랑달	시온 우즈키
65	플레로마	시온 우즈키
66	필살기 사용 허가（２）	벡터 제１ 개발국
67	축하해	뱀술사
68	문제가 어려웠던 건가？	ＦＮＭ
69	새로운 맵 추가（３）	벡터 제１ 개발국
70	필살기 사용 허가（３）	벡터 제１ 개발국
71	신병기가 완성됐습니다！	미유키 이츠미
72	새로운 맵 추가（４）	벡터 제１ 개발국
73	더미	더미
74	필살기 사용 허가（４）	벡터 제１ 개발국
75	신형 사이버 스포츠 등장	린 위펀
76	사진이야	핑크 버그
77	인사	ＦＮＭ
78	Ａ<CTL:1901>．<CTL:1900>Ｇ<CTL:1901>．<CTL:1900>Ｗ<CTL:1901>．<CTL:1900>Ｓ<CTL:1901>．<CTL:1900> 장비에 대해서	벡터 제１ 개발국
79	캐릭터 장비에 대해서	벡터 제１ 개발국
80	게임이 어렵게 느껴질 때	벡터 제１ 개발국
