# OV11 structure-aware text dump: OV11.OVL
# format: <kind>|<offset>|<record>|<orig>/<slack>|<text>
#   N = code/pointer-referenced NUL string
#   S = complete gallery stream, including its CTRL0C style packet
# Edit payload text only; control packets are verified during rebuild.

N|0000cfc8|Plain[00]|9/6|ワンペア\n
N|0000cfd8|Plain[01]|9/6|ツーペア\n
N|0000cfe8|Plain[02]|13/2|スリーカード\n
N|0000cff8|Plain[03]|11/4|ストレート\n
N|0000d008|Plain[04]|11/4|フラッシュ\n
N|0000d018|Plain[05]|11/4|フルハウス\n
N|0000d028|Plain[06]|13/2|フォーカード\n
N|0000d038|Plain[07]|21/2|ストレートフラッシュ\n
N|0000d050|Plain[08]|29/2|ロイヤルストレートフラッシュ\n
N|0000d080|Plain[09]|34/5|１回５コイン　ポーカーをしますか？
N|0000d0a8|Plain[10]|36/3|１回１０コイン　ポーカーをしますか？
N|0000d0d0|Plain[11]|36/3|１回３０コイン　ポーカーをしますか？
N|0000d0f8|Plain[12]|38/1|１回１００コイン　ポーカーをしますか？
N|0000d140|Plain[13]|20/3|Ｃｏｉｎがありません
N|0000d158|Plain[14]|20/3|ゲームを続けますか？
N|0000d170|Plain[15]|30/1|ダブルアップゲームをしますか？
N|0000d2c8|Plain[16]|10/5|コイン購入
N|0000d2e8|Plain[17]|26/5|　　　　　　　　　ＥＸＩＴ
S|0000d680|ViewerDescription[00]|137/6|{CTRL0C:de b6 ff|ＫＯＳ−ＭＯＳのＣＧイラスト。こちらも\nゲームショウ用として制作された物。手に\nしている銃は、普段は右腰部のケース内に\n格納されている。}
S|0000d710|ViewerTitle[00]|31/0|{CTRL0C:bb ff e5|\x19\x01ＫＯＳАＭＯＳ\x19\x00 \x19\x01ＣＧ\x19\x00}
S|0000d730|ViewerDescription[01]|163/4|{CTRL0C:de b6 ff|シオンのＣＧイラスト。劇中に登場するポリ\nゴンモデルのアッパーバージョン。ゲームシ\nョウ用に制作された物で、ショウでは３ｍを\n超える大きさの看板として展示された。}
S|0000d7d8|ViewerTitle[01]|19/4|{CTRL0C:bb ff e5|シオン \x19\x01ＣＧ\x19\x00}
S|0000d7f0|ViewerDescription[02]|167/0|{CTRL0C:de b6 ff|石垣氏のデザインによるＡ．Ｇ．Ｗ．Ｓ．。\n重装甲の遠距離支援型としてデザインされた\nもの。背部にマウントする長砲身の武装は、\n腕部クローによって保持されるという設定。}
S|0000d898|ViewerTitle[02]|18/5|{CTRL0C:bb ff e5|\x19\x01ＡＧА０５\x19\x00}
S|0000d8b0|ViewerDescription[03]|157/2|{CTRL0C:de b6 ff|麦谷氏デザインのＡ．Ｇ．Ｗ．Ｓ．。女性型\nＡ．Ｇ．Ｗ．Ｓ．を、との発注によって描か\nれたもので、モモ専用機としてデザインされ\nたもの。腕部に特徴がある機体。}
S|0000d950|ViewerTitle[03]|22/1|{CTRL0C:bb ff e5|\x19\x01ＶＸА４０００\x19\x00}
S|0000d968|ViewerDescription[04]|153/6|{CTRL0C:de b6 ff|麦谷氏のデザインによるＡ．Ｇ．Ｗ．Ｓ．。\n麦谷氏のＡ．Ｇ．Ｗ．Ｓ．デザインコンセ\nプトはコンセプトカー。全身に環境マッピ\nングが施されているのはその為。}
S|0000da08|ViewerTitle[04]|24/7|{CTRL0C:bb ff e5|\x19\x01ＶＸА２００００\x19\x00}
S|0000da28|ViewerDescription[05]|161/6|{CTRL0C:de b6 ff|石垣氏によるＡ．Ｇ．Ｗ．Ｓ．。格闘戦用\nとしてデザインされたＡ．Ｇ．Ｗ．Ｓ．で、\n腕部と脚部にデザインの特徴が表れている。\n脚部は走行形態に変形する事が出来る。}
S|0000dad0|ViewerTitle[05]|18/5|{CTRL0C:bb ff e5|\x19\x01ＡＧА０４\x19\x00}
S|0000dae8|ViewerDescription[06]|161/6|{CTRL0C:de b6 ff|麦谷興一氏デザインのＡ．Ｇ．Ｗ．Ｓ．。\nＶＸ−１００００の直後にデザインされたも\nので、デザインコンセプトはカーボンフレー\nムの露出による装甲とのコントラスト。}
S|0000db90|ViewerTitle[06]|22/1|{CTRL0C:bb ff e5|\x19\x01ＶＸА９０００\x19\x00}
S|0000dba8|ViewerDescription[07]|160/7|{CTRL0C:de b6 ff|コクピットの設定画。設定画には描かれて\nいないが、内部は搭乗者の体型に合わせた\n鋳型状の空間となっている。身体と内壁の\n隙間には筋電位感応ジェルが充填される。\n}
S|0000dc50|ViewerTitle[07]|14/1|{CTRL0C:bb ff e5|コクピット}
S|0000dc60|ViewerDescription[08]|167/0|{CTRL0C:de b6 ff|最初期に描かれた石垣氏デザインのＡ．Ｇ．\nＷ．Ｓ．。このデザインに決定するまでかな\nりの画稿が存在する。特に股関節は独特の形\n状をしている為、試行錯誤が繰り返された。}
S|0000dd08|ViewerTitle[08]|18/5|{CTRL0C:bb ff e5|\x19\x01ＡＧА０１\x19\x00}
S|0000dd20|ViewerDescription[09]|162/5|{CTRL0C:de b6 ff|エルザの設定画。エルザは、白鳥＋ＳＲ７１\n＋Ｆ１をイメージして描かれた。船体左右の\n楕円形のパーツには“凄い秘密”が隠されて\nいる。デザインは石垣純哉氏が担当。\n}
S|0000ddc8|ViewerTitle[09]|10/5|{CTRL0C:bb ff e5|エルザ}
S|0000ddd8|ViewerDescription[10]|120/7|{CTRL0C:de b6 ff|ガイナンの全身設定画。ダンディーな雰囲気\nが漂う一枚。ちなみにガイナンのイメージは\n原作版のブルース・ウエインである。}
S|0000de58|ViewerTitle[10]|15/0|{CTRL0C:bb ff e5|ガイナン ２}
S|0000de68|ViewerDescription[11]|79/0|{CTRL0C:de b6 ff|ガイナンの表情設定画。ガイナンはＪｒ．と\n並行してデザイン作業が進められた。}
S|0000deb8|ViewerTitle[11]|15/0|{CTRL0C:bb ff e5|ガイナン １}
S|0000dec8|ViewerDescription[12]|107/4|{CTRL0C:de b6 ff|ジギーの全身設定画。この絵はイメージイラ\nストの原画。ジギーの服装のデザインは臼田\n忠泰が担当している。\n}
S|0000df38|ViewerTitle[12]|13/2|{CTRL0C:bb ff e5|ジギー ３}
S|0000df48|ViewerDescription[13]|122/5|{CTRL0C:de b6 ff|ジギーの表情設定画。この設定が描かれた\n時点では、まだ身体のデザインが決定して\nいなかったため、やや細身に描かれている。}
S|0000dfc8|ViewerTitle[13]|13/2|{CTRL0C:bb ff e5|ジギー ２}
S|0000dfd8|ViewerDescription[14]|133/2|{CTRL0C:de b6 ff|田中久仁彦氏の手によるイメージイラスト。\n各イメージイラストは、すべて実際の縮尺\nに対応して描かれている。胸元がチャーム\nポイント。}
S|0000e060|ViewerTitle[14]|13/2|{CTRL0C:bb ff e5|ジギー １}
S|0000e070|ViewerDescription[15]|104/7|{CTRL0C:de b6 ff|ＫＯＳ−ＭＯＳの表情設定画。初期の頃に\n描かれた物で、頭部バイザーのデザインが\n決定稿と異なっている。}
S|0000e0e0|ViewerTitle[15]|25/6|{CTRL0C:bb ff e5|\x19\x01ＫＯＳАＭＯＳ\x19\x00 ２}
S|0000e100|ViewerDescription[16]|147/4|{CTRL0C:de b6 ff|田中久仁彦氏の手によるイメージイラスト。\n劇中の色は全体的に淡いブルーのイメージが\n強いＫＯＳ−ＭＯＳだが、正式にはパールホ\nワイトが基調となる。}
S|0000e198|ViewerTitle[16]|25/6|{CTRL0C:bb ff e5|\x19\x01ＫＯＳАＭＯＳ\x19\x00 １}
S|0000e1b8|ViewerDescription[17]|139/4|{CTRL0C:de b6 ff|モモの全身設定画。制服っぽさを、という\n発注によって描かれた。一見シンプルな様\nだが、背面など、意外と複雑なデザインラ\nインとなっている。}
S|0000e248|ViewerTitle[17]|11/4|{CTRL0C:bb ff e5|モモ ３}
S|0000e258|ViewerDescription[18]|145/6|{CTRL0C:de b6 ff|モモの表情設定画。正面からの絵は、劇中で\n寂しげな表情の多いモモの貴重な１カット。\n髪飾りは準備稿段階のもので、この後髪飾り\nのみが変更された。}
