# OV11 structure-aware text dump: OV11.OVL
# format: <kind>|<offset>|<record>|<orig>/<slack>|<text>
#   N = code/pointer-referenced NUL string
#   S = complete gallery stream, including its CTRL0C style packet
# Edit payload text only; control packets are verified during rebuild.

N|0000cfc8|Plain[00]|9/6|원 페어\n
N|0000cfd8|Plain[01]|9/6|투 페어\n
N|0000cfe8|Plain[02]|13/2|쓰리 카드\n
N|0000cff8|Plain[03]|11/4|스트레이트\n
N|0000d008|Plain[04]|11/4|플러시\n
N|0000d018|Plain[05]|11/4|풀 하우스\n
N|0000d028|Plain[06]|13/2|포 카드\n
N|0000d038|Plain[07]|21/2|스트레이트 플러시\n
N|0000d050|Plain[08]|29/2|로열 스트레이트 플러시\n
N|0000d080|Plain[09]|34/5|１번에 ５코인，포커를 하겠습니까？
N|0000d0a8|Plain[10]|36/3|１번에 １０코인，포커를 하겠습니까？
N|0000d0d0|Plain[11]|36/3|１번에 ３０코인，포커를 하겠습니까？
N|0000d0f8|Plain[12]|38/1|１번에 １００코인，포커를 하겠습니까？
N|0000d140|Plain[13]|20/3|Ｃｏｉｎ이 없습니다
N|0000d158|Plain[14]|20/3|게임을 계속하겠습니까？
N|0000d170|Plain[15]|30/1|더블 업 게임을 하겠습니까？
N|0000d2c8|Plain[16]|10/5|　코인 구입
N|0000d2e8|Plain[17]|26/5|　　　　　　　　　ＥＸＩＴ
S|0000d680|ViewerDescription[00]|137/6|{CTRL0C:de b6 ff|코스모스의　ＣＧ　일러스트．이것도\n게임　쇼용으로　제작된　것이다．들고\n있는　총은　평소엔　오른쪽　허리의\n케이스　안에　수납되어　있다．}
S|0000d710|ViewerTitle[00]|31/0|{CTRL0C:bb ff e5|\x19\x01코스모스\x19\x00 \x19\x01ＣＧ\x19\x00}
S|0000d730|ViewerDescription[01]|163/4|{CTRL0C:de b6 ff|시온의　ＣＧ　일러스트．극　중에\n등장하는　폴리곤　모델의　상위\n버전．게임　쇼용으로　제작됐으며，\n３ｍ가　넘는　대형　간판으로　전시됐다．}
S|0000d7d8|ViewerTitle[01]|19/4|{CTRL0C:bb ff e5|시온 \x19\x01ＣＧ\x19\x00}
S|0000d7f0|ViewerDescription[02]|167/0|{CTRL0C:de b6 ff|이시가키가　디자인한　Ａ．Ｇ．Ｗ．Ｓ．\n중장갑　원거리　지원형으로　디자인됐다．\n등에　장착하는　장포신　무장은　팔의\n클로로　고정한다는　설정이다．}
S|0000d898|ViewerTitle[02]|18/5|{CTRL0C:bb ff e5|\x19\x01ＡＧА０５\x19\x00}
S|0000d8b0|ViewerDescription[03]|157/2|{CTRL0C:de b6 ff|무기타니가　디자인한　Ａ．Ｇ．Ｗ．Ｓ．\n여성형　Ａ．Ｇ．Ｗ．Ｓ．라는　의뢰로\n그려졌으며，모모　전용기로　디자인된\n기체．팔　부분이　특징적이다．}
S|0000d950|ViewerTitle[03]|22/1|{CTRL0C:bb ff e5|\x19\x01ＶＸА４０００\x19\x00}
S|0000d968|ViewerDescription[04]|153/6|{CTRL0C:de b6 ff|무기타니가　디자인한　Ａ．Ｇ．Ｗ．Ｓ．\n그의　Ａ．Ｇ．Ｗ．Ｓ．디자인　콘셉트는\n콘셉트　카．전신에　환경　매핑을\n적용한　것도　그　때문이다．}
S|0000da08|ViewerTitle[04]|24/7|{CTRL0C:bb ff e5|\x19\x01ＶＸА２００００\x19\x00}
S|0000da28|ViewerDescription[05]|161/6|{CTRL0C:de b6 ff|이시가키가　디자인한　Ａ．Ｇ．Ｗ．Ｓ．\n격투전용으로　디자인됐으며，팔과\n다리에　특징이　잘　드러나　있다．\n다리는　주행　형태로　변형할　수　있다．}
S|0000dad0|ViewerTitle[05]|18/5|{CTRL0C:bb ff e5|\x19\x01ＡＧА０４\x19\x00}
S|0000dae8|ViewerDescription[06]|161/6|{CTRL0C:de b6 ff|무기타니가　디자인한　기체．\nＶＸ−１００００　직후에　디자인됐으며，\n콘셉트는　노출된　카본　프레임과\n장갑의　대비．}
S|0000db90|ViewerTitle[06]|22/1|{CTRL0C:bb ff e5|\x19\x01ＶＸА９０００\x19\x00}
S|0000dba8|ViewerDescription[07]|160/7|{CTRL0C:de b6 ff|콕핏　설정화．그림에는　없지만，\n내부는　탑승자의　체형에　맞춘\n주형　형태의　공간이다．몸과　내벽의\n틈은　근전위　감응　젤로　채워진다．}
S|0000dc50|ViewerTitle[07]|14/1|{CTRL0C:bb ff e5|콕핏}
S|0000dc60|ViewerDescription[08]|167/0|{CTRL0C:de b6 ff|이시가키의　초기　Ａ．Ｇ．Ｗ．Ｓ．안．\n이　디자인으로　결정되기까지　수많은\n초안이　있었다．특히　고관절　형태가\n독특해　여러　번　시행착오를　거쳤다．}
S|0000dd08|ViewerTitle[08]|18/5|{CTRL0C:bb ff e5|\x19\x01ＡＧА０１\x19\x00}
S|0000dd20|ViewerDescription[09]|162/5|{CTRL0C:de b6 ff|엘자의　설정화．백조＋ＳＲ７１＋Ｆ１\n이미지로　그렸다．선체　좌우의\n타원형　부품에는　「굉장한　비밀」이\n숨겨져　있다．이시가키　준야　디자인．}
S|0000ddc8|ViewerTitle[09]|10/5|{CTRL0C:bb ff e5|엘자}
S|0000ddd8|ViewerDescription[10]|120/7|{CTRL0C:de b6 ff|가이난의　전신　설정화．중후한\n분위기가　감도는　한　장．참고로\n가이난의　이미지는　원작판　브루스\n웨인이다．}
S|0000de58|ViewerTitle[10]|15/0|{CTRL0C:bb ff e5|가이난 ２}
S|0000de68|ViewerDescription[11]|79/0|{CTRL0C:de b6 ff|가이난의　표정　설정화．가이난은\nＪｒ．와　병행해　디자인됐다．}
S|0000deb8|ViewerTitle[11]|15/0|{CTRL0C:bb ff e5|가이난 １}
S|0000dec8|ViewerDescription[12]|107/4|{CTRL0C:de b6 ff|지기의　전신　설정화．이　그림은\n이미지　일러스트의　원화．\n복장은　우스다　다다야스가　담당했다．}
S|0000df38|ViewerTitle[12]|13/2|{CTRL0C:bb ff e5|지기 ３}
S|0000df48|ViewerDescription[13]|122/5|{CTRL0C:de b6 ff|지기의　표정　설정화．이　설정이\n그려질　당시에는　아직　신체\n디자인이　정해지지　않아서，다소\n날씬하게　그려졌다．}
S|0000dfc8|ViewerTitle[13]|13/2|{CTRL0C:bb ff e5|지기 ２}
S|0000dfd8|ViewerDescription[14]|133/2|{CTRL0C:de b6 ff|다나카　쿠니히코의　이미지　일러스트．\n각　이미지는　모두　실제　축척에　맞춰\n그려졌다．가슴　부분이　매력　포인트．}
S|0000e060|ViewerTitle[14]|13/2|{CTRL0C:bb ff e5|지기 １}
S|0000e070|ViewerDescription[15]|104/7|{CTRL0C:de b6 ff|코스모스의　표정　설정화．초기에\n그려진　것으로，머리　바이저의\n디자인이　결정본과　다르다．}
